2026-03-01 13:36:49,624 | INFO | Episode 320/8000 | Avg Reward: 95.43 | Avg Length: 419.50 | Avg Loss: 71.2709 | Avg Found Sources: 3.50 | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.06, collision=-0.00, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.30, failure_done=-0.00
2026-03-01 13:37:21,072 | INFO | Episode 330/8000 | Avg Reward: 108.23 | Avg Length: 419.20 | Avg Loss: 83.8679 | Avg Found Sources: 3.60 | Success Rate: 70.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.07, collision=-0.00, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.35, failure_done=-0.00
2026-03-01 13:37:49,816 | INFO | Episode 340/8000 | Avg Reward: 125.66 | Avg Length: 380.80 | Avg Loss: 79.0682 | Avg Found Sources: 3.80 | Success Rate: 80.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.06, collision=-0.00, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.34, failure_done=-0.00
2026-03-01 13:38:13,331 | INFO | Episode 350/8000 | Avg Reward: 120.58 | Avg Length: 310.40 | Avg Loss: 126.6527 | Avg Found Sources: 3.70 | Success Rate: 80.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.10, collision=-0.00, battery=-0.00, distance=0.01, stay_found=-0.01, success_done=0.55, failure_done=-0.00
2026-03-01 13:38:42,520 | INFO | Episode 360/8000 | Avg Reward: 94.61 | Avg Length: 390.10 | Avg Loss: 180.7349 | Avg Found Sources: 3.60 | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.14, collision=-0.00, battery=-0.00, distance=0.01, stay_found=-0.01, success_done=0.77, failure_done=-0.00
2026-03-01 13:39:12,645 | INFO | Episode 370/8000 | Avg Reward: 110.39 | Avg Length: 402.30 | Avg Loss: 75.1343 | Avg Found Sources: 3.60 | Success Rate: 70.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.06, collision=-0.00, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.32, failure_done=-0.00
2026-03-01 13:39:39,483 | INFO | Episode 380/8000 | Avg Reward: 134.50 | Avg Length: 356.00 | Avg Loss: 85.2370 | Avg Found Sources: 3.80 | Success Rate: 90.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.06, collision=-0.00, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.36, failure_done=-0.00
2026-03-01 13:40:11,006 | INFO | Episode 390/8000 | Avg Reward: 94.21 | Avg Length: 419.30 | Avg Loss: 97.3761 | Avg Found Sources: 3.60 | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.08, collision=-0.00, battery=-0.00, distance=0.01, stay_found=-0.01, success_done=0.41, failure_done=-0.00
2026-03-01 13:40:37,659 | INFO | Episode 400/8000 | Avg Reward: 105.47 | Avg Length: 353.90 | Avg Loss: 101.6654 | Avg Found Sources: 3.70 | Success Rate: 70.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.08, collision=-0.00, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.43, failure_done=-0.00
2026-03-01 13:41:07,576 | INFO | Episode 410/8000 | Avg Reward: 93.49 | Avg Length: 396.10 | Avg Loss: 76.1358 | Avg Found Sources: 3.30 | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.06, collision=-0.00, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.32, failure_done=-0.00
2026-03-01 13:41:29,259 | INFO | Episode 420/8000 | Avg Reward: 134.08 | Avg Length: 274.90 | Avg Loss: 406.2714 | Avg Found Sources: 3.90 | Success Rate: 90.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.28, collision=-0.02, battery=-0.00, distance=0.01, stay_found=-0.01, success_done=1.66, failure_done=-0.00
2026-03-01 13:42:35,172 | INFO | Episode 10/8000 | Avg Reward: -12.65 | Avg Length: 502.30 | Avg Loss: 0.9198 | Avg Found Sources: 0.80 | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.01, found=0.01, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-01 13:43:11,519 | INFO | Episode 20/8000 | Avg Reward: 11.92 | Avg Length: 459.90 | Avg Loss: 46.4225 | Avg Found Sources: 1.60 | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.01, found=0.04, collision=-0.01, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.19, failure_done=-0.01
2026-03-01 13:43:51,990 | INFO | Episode 30/8000 | Avg Reward: -9.51 | Avg Length: 500.50 | Avg Loss: 1.0751 | Avg Found Sources: 1.30 | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.01, found=0.01, collision=-0.02, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-01 13:44:36,543 | INFO | Episode 40/8000 | Avg Reward: 26.61 | Avg Length: 548.10 | Avg Loss: 16.0648 | Avg Found Sources: 2.50 | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.01, found=0.02, collision=-0.01, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.06, failure_done=-0.01
2026-03-01 13:45:22,443 | INFO | Episode 50/8000 | Avg Reward: 42.13 | Avg Length: 566.10 | Avg Loss: 23.2135 | Avg Found Sources: 2.70 | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.01, found=0.03, collision=-0.01, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.09, failure_done=-0.01
2026-03-01 13:46:01,255 | INFO | Episode 60/8000 | Avg Reward: 59.96 | Avg Length: 489.70 | Avg Loss: 317.2769 | Avg Found Sources: 3.10 | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.23, collision=-0.01, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=1.30, failure_done=-0.00
2026-03-01 13:46:38,319 | INFO | Episode 70/8000 | Avg Reward: 82.03 | Avg Length: 467.50 | Avg Loss: 60.4497 | Avg Found Sources: 3.50 | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.01, found=0.05, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.24, failure_done=-0.00
2026-03-01 13:47:12,729 | INFO | Episode 80/8000 | Avg Reward: 85.26 | Avg Length: 433.50 | Avg Loss: 97.1462 | Avg Found Sources: 3.60 | Success Rate: 60.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.01, found=0.07, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.39, failure_done=-0.00
2026-03-01 13:47:44,106 | INFO | Episode 90/8000 | Avg Reward: 109.02 | Avg Length: 385.80 | Avg Loss: 79.3591 | Avg Found Sources: 3.80 | Success Rate: 80.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.06, collision=-0.03, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=0.33, failure_done=-0.00
2026-03-01 13:48:19,331 | INFO | Episode 100/8000 | Avg Reward: 70.23 | Avg Length: 445.20 | Avg Loss: 75.3493 | Avg Found Sources: 3.50 | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.06, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.31, failure_done=-0.00
2026-03-01 13:48:34,797 | INFO | Episode 110/8000 | Avg Reward: 140.32 | Avg Length: 186.30 | Avg Loss: 186.9119 | Avg Found Sources: 4.00 | Success Rate: 100.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.14, collision=-0.02, battery=-0.00, distance=0.01, stay_found=-0.01, success_done=0.81, failure_done=0.00
