2026-02-26 01:40:26,685 | INFO | Episode 300/5000 | Avg Reward: 20.92 | Avg Length: 240.20 | Avg Loss: 11.7552 | Avg Found Sources: 1.80 | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.09, collision=0.00, battery=-0.00, distance=0.00, success_done=0.02, failure_done=-0.02
2026-02-26 01:40:43,716 | INFO | Episode 310/5000 | Avg Reward: 29.49 | Avg Length: 270.00 | Avg Loss: 13.5465 | Avg Found Sources: 2.40 | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.01, found=0.10, collision=0.00, battery=-0.00, distance=0.00, success_done=0.03, failure_done=-0.01
2026-02-26 01:41:02,937 | INFO | Episode 320/5000 | Avg Reward: 31.47 | Avg Length: 303.50 | Avg Loss: 11.1606 | Avg Found Sources: 2.70 | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.09, collision=0.00, battery=-0.00, distance=0.00, success_done=0.01, failure_done=-0.01
2026-02-26 01:41:20,534 | INFO | Episode 330/5000 | Avg Reward: 39.34 | Avg Length: 283.10 | Avg Loss: 16.6681 | Avg Found Sources: 2.80 | Success Rate: 30.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.11, collision=0.00, battery=-0.00, distance=0.00, success_done=0.04, failure_done=-0.01
2026-02-26 01:41:37,868 | INFO | Episode 340/5000 | Avg Reward: 38.20 | Avg Length: 281.60 | Avg Loss: 15.0889 | Avg Found Sources: 3.00 | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.12, collision=0.00, battery=-0.00, distance=0.00, success_done=0.03, failure_done=-0.01
2026-02-26 01:41:54,891 | INFO | Episode 350/5000 | Avg Reward: 35.56 | Avg Length: 270.80 | Avg Loss: 26.6359 | Avg Found Sources: 2.50 | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.13, collision=0.00, battery=-0.00, distance=0.00, success_done=0.07, failure_done=-0.01
2026-02-26 01:42:15,177 | INFO | Episode 360/5000 | Avg Reward: 25.12 | Avg Length: 324.40 | Avg Loss: 9.4746 | Avg Found Sources: 2.30 | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.01, found=0.08, collision=0.00, battery=-0.00, distance=0.00, success_done=0.01, failure_done=-0.01
2026-02-26 01:42:32,897 | INFO | Episode 370/5000 | Avg Reward: 33.06 | Avg Length: 280.40 | Avg Loss: 18.3044 | Avg Found Sources: 2.70 | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.13, collision=0.00, battery=-0.00, distance=0.00, success_done=0.05, failure_done=-0.01
2026-02-26 01:42:50,342 | INFO | Episode 380/5000 | Avg Reward: 34.66 | Avg Length: 277.30 | Avg Loss: 15.1474 | Avg Found Sources: 2.80 | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.11, collision=0.00, battery=-0.00, distance=0.00, success_done=0.04, failure_done=-0.01
2026-02-26 01:43:06,631 | INFO | Episode 390/5000 | Avg Reward: 31.67 | Avg Length: 255.60 | Avg Loss: 18.2143 | Avg Found Sources: 2.60 | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.15, collision=0.00, battery=-0.00, distance=0.00, success_done=0.07, failure_done=-0.01
2026-02-26 01:43:23,787 | INFO | Episode 400/5000 | Avg Reward: 31.66 | Avg Length: 271.20 | Avg Loss: 19.3079 | Avg Found Sources: 2.60 | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.13, collision=0.00, battery=-0.00, distance=0.00, success_done=0.06, failure_done=-0.01
2026-02-26 01:43:41,758 | INFO | Episode 410/5000 | Avg Reward: 29.16 | Avg Length: 281.10 | Avg Loss: 11.9040 | Avg Found Sources: 2.60 | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.10, collision=0.00, battery=-0.00, distance=0.00, success_done=0.02, failure_done=-0.02
2026-02-26 01:43:59,498 | INFO | Episode 420/5000 | Avg Reward: 26.50 | Avg Length: 282.90 | Avg Loss: 42.3167 | Avg Found Sources: 2.40 | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.19, collision=0.00, battery=-0.00, distance=0.00, success_done=0.10, failure_done=-0.01
2026-02-26 01:44:17,865 | INFO | Episode 430/5000 | Avg Reward: 30.04 | Avg Length: 294.20 | Avg Loss: 12.6868 | Avg Found Sources: 2.40 | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.01, found=0.09, collision=0.00, battery=-0.00, distance=0.00, success_done=0.03, failure_done=-0.01
2026-02-26 01:44:36,215 | INFO | Episode 440/5000 | Avg Reward: 28.54 | Avg Length: 290.00 | Avg Loss: 15.7569 | Avg Found Sources: 2.30 | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.01, found=0.10, collision=0.00, battery=-0.00, distance=0.00, success_done=0.04, failure_done=-0.01
2026-02-26 01:44:54,667 | INFO | Episode 450/5000 | Avg Reward: 30.63 | Avg Length: 297.00 | Avg Loss: 9.9289 | Avg Found Sources: 2.70 | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.10, collision=0.00, battery=-0.00, distance=0.00, success_done=0.01, failure_done=-0.01
2026-02-26 01:45:13,057 | INFO | Episode 460/5000 | Avg Reward: 31.03 | Avg Length: 289.10 | Avg Loss: 16.1633 | Avg Found Sources: 2.50 | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.01, found=0.10, collision=0.00, battery=-0.00, distance=0.00, success_done=0.04, failure_done=-0.01
2026-02-26 01:45:30,441 | INFO | Episode 470/5000 | Avg Reward: 40.63 | Avg Length: 274.30 | Avg Loss: 20.3648 | Avg Found Sources: 2.90 | Success Rate: 30.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.13, collision=0.00, battery=-0.00, distance=0.00, success_done=0.06, failure_done=-0.01
2026-02-26 01:45:49,482 | INFO | Episode 480/5000 | Avg Reward: 31.02 | Avg Length: 302.20 | Avg Loss: 11.1457 | Avg Found Sources: 2.80 | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.10, collision=0.00, battery=-0.00, distance=0.00, success_done=0.02, failure_done=-0.01
2026-02-26 01:46:08,302 | INFO | Episode 490/5000 | Avg Reward: 25.58 | Avg Length: 300.20 | Avg Loss: 10.7970 | Avg Found Sources: 2.30 | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.01, found=0.09, collision=0.00, battery=-0.00, distance=0.00, success_done=0.02, failure_done=-0.01
2026-02-26 01:46:25,396 | INFO | Episode 500/5000 | Avg Reward: 40.43 | Avg Length: 268.10 | Avg Loss: 30.5406 | Avg Found Sources: 3.00 | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.17, collision=0.00, battery=-0.00, distance=0.00, success_done=0.08, failure_done=-0.01
2026-02-26 01:46:46,674 | INFO | Episode 510/5000 | Avg Reward: 15.02 | Avg Length: 343.30 | Avg Loss: 5.0294 | Avg Found Sources: 1.60 | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.01, found=0.05, collision=0.00, battery=-0.00, distance=0.00, success_done=0.00, failure_done=-0.01
2026-02-26 01:47:08,218 | INFO | Episode 520/5000 | Avg Reward: 23.28 | Avg Length: 343.80 | Avg Loss: 5.9755 | Avg Found Sources: 2.40 | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.01, found=0.07, collision=0.00, battery=-0.00, distance=0.00, success_done=0.00, failure_done=-0.01
2026-02-26 01:47:26,995 | INFO | Episode 530/5000 | Avg Reward: 32.19 | Avg Length: 299.00 | Avg Loss: 16.0673 | Avg Found Sources: 2.60 | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.01, found=0.10, collision=0.00, battery=-0.00, distance=0.00, success_done=0.03, failure_done=-0.01
2026-02-26 01:47:44,495 | INFO | Episode 540/5000 | Avg Reward: 26.50 | Avg Length: 271.70 | Avg Loss: 17.8410 | Avg Found Sources: 2.40 | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.12, collision=0.00, battery=-0.00, distance=0.00, success_done=0.04, failure_done=-0.02
2026-02-26 01:48:00,384 | INFO | Episode 550/5000 | Avg Reward: 39.18 | Avg Length: 254.70 | Avg Loss: 23.1099 | Avg Found Sources: 2.80 | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.15, collision=0.00, battery=-0.00, distance=0.00, success_done=0.08, failure_done=-0.01
2026-02-26 01:48:14,938 | INFO | Episode 560/5000 | Avg Reward: 47.54 | Avg Length: 226.00 | Avg Loss: 38.8456 | Avg Found Sources: 3.30 | Success Rate: 40.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.24, collision=0.00, battery=-0.00, distance=0.00, success_done=0.14, failure_done=-0.01
2026-02-26 01:48:32,632 | INFO | Episode 570/5000 | Avg Reward: 40.42 | Avg Length: 278.20 | Avg Loss: 19.1806 | Avg Found Sources: 2.90 | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.12, collision=0.00, battery=-0.00, distance=0.00, success_done=0.05, failure_done=-0.01
2026-02-26 01:48:50,983 | INFO | Episode 580/5000 | Avg Reward: 35.53 | Avg Length: 288.40 | Avg Loss: 14.8253 | Avg Found Sources: 2.70 | Success Rate: 20.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.10, collision=0.00, battery=-0.00, distance=0.00, success_done=0.02, failure_done=-0.01
2026-02-26 01:49:07,566 | INFO | Episode 590/5000 | Avg Reward: 53.63 | Avg Length: 262.40 | Avg Loss: 27.8065 | Avg Found Sources: 3.50 | Success Rate: 50.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.14, collision=0.00, battery=-0.00, distance=0.00, success_done=0.07, failure_done=-0.01
2026-02-26 01:49:23,026 | INFO | Episode 600/5000 | Avg Reward: 40.67 | Avg Length: 248.10 | Avg Loss: 20.3619 | Avg Found Sources: 2.90 | Success Rate: 30.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.03, found=0.14, collision=0.00, battery=-0.00, distance=0.00, success_done=0.06, failure_done=-0.01
2026-02-26 01:49:40,506 | INFO | Episode 610/5000 | Avg Reward: 26.44 | Avg Length: 278.10 | Avg Loss: 12.9172 | Avg Found Sources: 2.30 | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.10, collision=0.00, battery=-0.00, distance=0.00, success_done=0.03, failure_done=-0.02
2026-02-26 01:49:58,777 | INFO | Episode 620/5000 | Avg Reward: 26.71 | Avg Length: 293.30 | Avg Loss: 10.1123 | Avg Found Sources: 2.40 | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.01, found=0.09, collision=0.00, battery=-0.00, distance=0.00, success_done=0.02, failure_done=-0.01
2026-02-26 01:50:14,546 | INFO | Episode 630/5000 | Avg Reward: 34.44 | Avg Length: 250.30 | Avg Loss: 23.9454 | Avg Found Sources: 2.50 | Success Rate: 30.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.13, collision=0.00, battery=-0.00, distance=0.00, success_done=0.07, failure_done=-0.01
2026-02-26 01:50:32,426 | INFO | Episode 640/5000 | Avg Reward: 26.34 | Avg Length: 285.90 | Avg Loss: 11.0505 | Avg Found Sources: 2.30 | Success Rate: 10.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.02, found=0.09, collision=0.00, battery=-0.00, distance=0.00, success_done=0.02, failure_done=-0.02
2026-02-26 01:50:53,013 | INFO | Episode 650/5000 | Avg Reward: 20.78 | Avg Length: 329.00 | Avg Loss: 5.2714 | Avg Found Sources: 2.10 | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.01, found=0.06, collision=0.00, battery=-0.00, distance=0.00, success_done=0.00, failure_done=-0.02
