2026-02-20 10:43:34,928 | INFO | Episode 660/5000 | Avg Reward: 26.83 | Avg Length: 204.50 | Avg Loss: 0.8257 | Avg Found Sources: 0.10
2026-02-20 10:43:42,021 | INFO | Episode 670/5000 | Avg Reward: 19.04 | Avg Length: 206.80 | Avg Loss: 1.2816 | Avg Found Sources: 0.00
2026-02-20 10:43:51,634 | INFO | Episode 680/5000 | Avg Reward: -8.24 | Avg Length: 281.80 | Avg Loss: 9.4697 | Avg Found Sources: 0.20
2026-02-20 10:43:58,413 | INFO | Episode 690/5000 | Avg Reward: 26.21 | Avg Length: 202.00 | Avg Loss: 0.7548 | Avg Found Sources: 0.30
2026-02-20 10:44:07,218 | INFO | Episode 700/5000 | Avg Reward: -14.20 | Avg Length: 284.20 | Avg Loss: 11.6510 | Avg Found Sources: 0.10
2026-02-20 10:44:13,817 | INFO | Episode 710/5000 | Avg Reward: 31.37 | Avg Length: 206.10 | Avg Loss: 3.2496 | Avg Found Sources: 0.20
2026-02-20 10:44:20,414 | INFO | Episode 720/5000 | Avg Reward: 25.25 | Avg Length: 207.10 | Avg Loss: 1.6430 | Avg Found Sources: 0.30
2026-02-20 10:44:26,885 | INFO | Episode 730/5000 | Avg Reward: 28.78 | Avg Length: 204.50 | Avg Loss: 0.8647 | Avg Found Sources: 0.10
2026-02-20 10:44:33,746 | INFO | Episode 740/5000 | Avg Reward: 29.29 | Avg Length: 207.40 | Avg Loss: 2.2865 | Avg Found Sources: 0.00
2026-02-20 10:44:40,720 | INFO | Episode 750/5000 | Avg Reward: 29.48 | Avg Length: 203.50 | Avg Loss: 0.7861 | Avg Found Sources: 0.00
2026-02-20 10:44:47,432 | INFO | Episode 760/5000 | Avg Reward: 27.78 | Avg Length: 204.70 | Avg Loss: 1.1590 | Avg Found Sources: 0.30
2026-02-20 10:44:57,062 | INFO | Episode 770/5000 | Avg Reward: -22.70 | Avg Length: 281.90 | Avg Loss: 7.7578 | Avg Found Sources: 0.10
2026-02-20 10:45:03,983 | INFO | Episode 780/5000 | Avg Reward: 23.90 | Avg Length: 205.80 | Avg Loss: 1.0359 | Avg Found Sources: 0.10
2026-02-20 10:45:15,143 | INFO | Episode 790/5000 | Avg Reward: -51.22 | Avg Length: 355.00 | Avg Loss: 12.7414 | Avg Found Sources: 0.10
2026-02-20 10:45:21,659 | INFO | Episode 800/5000 | Avg Reward: 35.68 | Avg Length: 203.90 | Avg Loss: 2.1533 | Avg Found Sources: 0.40
2026-02-20 10:45:28,279 | INFO | Episode 810/5000 | Avg Reward: 28.14 | Avg Length: 204.20 | Avg Loss: 1.3944 | Avg Found Sources: 0.40
2026-02-20 10:45:39,635 | INFO | Episode 820/5000 | Avg Reward: -51.36 | Avg Length: 360.60 | Avg Loss: 10.2729 | Avg Found Sources: 0.00
2026-02-20 10:45:48,590 | INFO | Episode 830/5000 | Avg Reward: 0.79 | Avg Length: 278.00 | Avg Loss: 4.8478 | Avg Found Sources: 0.10
2026-02-20 10:45:57,445 | INFO | Episode 840/5000 | Avg Reward: 7.14 | Avg Length: 284.20 | Avg Loss: 2.5101 | Avg Found Sources: 0.00
2026-02-20 10:46:04,048 | INFO | Episode 850/5000 | Avg Reward: 32.27 | Avg Length: 203.30 | Avg Loss: 1.6782 | Avg Found Sources: 0.00
2026-02-20 10:46:10,755 | INFO | Episode 860/5000 | Avg Reward: 25.77 | Avg Length: 204.90 | Avg Loss: 0.6471 | Avg Found Sources: 0.10
2026-02-20 10:46:19,876 | INFO | Episode 870/5000 | Avg Reward: -9.38 | Avg Length: 282.10 | Avg Loss: 6.7847 | Avg Found Sources: 0.00
2026-02-20 10:46:26,481 | INFO | Episode 880/5000 | Avg Reward: 30.64 | Avg Length: 206.90 | Avg Loss: 1.0191 | Avg Found Sources: 0.00
2026-02-20 10:46:33,151 | INFO | Episode 890/5000 | Avg Reward: 31.15 | Avg Length: 205.20 | Avg Loss: 1.5636 | Avg Found Sources: 0.30
2026-02-20 10:46:39,964 | INFO | Episode 900/5000 | Avg Reward: 33.92 | Avg Length: 204.50 | Avg Loss: 1.7795 | Avg Found Sources: 0.10
2026-02-20 10:46:50,967 | INFO | Episode 910/5000 | Avg Reward: -61.74 | Avg Length: 354.50 | Avg Loss: 13.2644 | Avg Found Sources: 0.20
2026-02-20 10:47:00,361 | INFO | Episode 920/5000 | Avg Reward: -19.96 | Avg Length: 283.70 | Avg Loss: 7.9058 | Avg Found Sources: 0.30
2026-02-20 10:47:07,104 | INFO | Episode 930/5000 | Avg Reward: 22.82 | Avg Length: 205.00 | Avg Loss: 1.0113 | Avg Found Sources: 0.00
2026-02-20 10:47:13,553 | INFO | Episode 940/5000 | Avg Reward: 35.84 | Avg Length: 203.40 | Avg Loss: 1.9481 | Avg Found Sources: 0.20
2026-02-20 10:47:20,172 | INFO | Episode 950/5000 | Avg Reward: 24.72 | Avg Length: 207.10 | Avg Loss: 1.1030 | Avg Found Sources: 0.40
2026-02-20 10:47:26,776 | INFO | Episode 960/5000 | Avg Reward: 29.45 | Avg Length: 204.00 | Avg Loss: 1.0675 | Avg Found Sources: 0.20
2026-02-20 10:47:35,734 | INFO | Episode 970/5000 | Avg Reward: 5.17 | Avg Length: 285.70 | Avg Loss: 2.7991 | Avg Found Sources: 0.00
2026-02-20 10:47:42,295 | INFO | Episode 980/5000 | Avg Reward: 26.21 | Avg Length: 205.80 | Avg Loss: 1.2411 | Avg Found Sources: 0.00
2026-02-20 10:47:51,506 | INFO | Episode 990/5000 | Avg Reward: -18.39 | Avg Length: 283.90 | Avg Loss: 8.8878 | Avg Found Sources: 0.10
2026-02-20 10:49:00,142 | INFO | Episode 10/5000 | Avg Reward: 14.50 | Avg Length: 288.00 | Avg Loss: 6.2484 | Avg Found Sources: 0.60
2026-02-20 10:49:07,858 | INFO | Episode 20/5000 | Avg Reward: 17.84 | Avg Length: 238.00 | Avg Loss: 2.9335 | Avg Found Sources: 0.70
2026-02-20 10:49:17,472 | INFO | Episode 30/5000 | Avg Reward: -33.21 | Avg Length: 304.50 | Avg Loss: 8.8972 | Avg Found Sources: 0.20
2026-02-20 10:49:24,045 | INFO | Episode 40/5000 | Avg Reward: 25.71 | Avg Length: 204.10 | Avg Loss: 0.8734 | Avg Found Sources: 0.20
2026-02-20 10:49:30,925 | INFO | Episode 50/5000 | Avg Reward: 27.62 | Avg Length: 204.50 | Avg Loss: 1.6359 | Avg Found Sources: 0.20
2026-02-20 10:49:40,488 | INFO | Episode 60/5000 | Avg Reward: -18.12 | Avg Length: 287.20 | Avg Loss: 9.1051 | Avg Found Sources: 0.30
2026-02-20 10:49:47,840 | INFO | Episode 70/5000 | Avg Reward: 26.20 | Avg Length: 202.80 | Avg Loss: 0.7960 | Avg Found Sources: 0.10
2026-02-20 10:58:30,006 | INFO | Episode 10/5000 | Avg Reward: 14.50 | Avg Length: 288.00 | Avg Loss: 6.2484 | Avg Found Sources: 0.60
2026-02-20 10:58:37,540 | INFO | Episode 20/5000 | Avg Reward: 17.84 | Avg Length: 238.00 | Avg Loss: 2.9335 | Avg Found Sources: 0.70
2026-02-20 10:58:47,083 | INFO | Episode 30/5000 | Avg Reward: -33.21 | Avg Length: 304.50 | Avg Loss: 8.8972 | Avg Found Sources: 0.20
2026-02-20 10:58:53,623 | INFO | Episode 40/5000 | Avg Reward: 25.71 | Avg Length: 204.10 | Avg Loss: 0.8734 | Avg Found Sources: 0.20
2026-02-20 10:59:00,305 | INFO | Episode 50/5000 | Avg Reward: 27.62 | Avg Length: 204.50 | Avg Loss: 1.6359 | Avg Found Sources: 0.20
2026-02-20 10:59:09,757 | INFO | Episode 60/5000 | Avg Reward: -18.12 | Avg Length: 287.20 | Avg Loss: 9.1051 | Avg Found Sources: 0.30
2026-02-20 10:59:16,319 | INFO | Episode 70/5000 | Avg Reward: 26.20 | Avg Length: 202.80 | Avg Loss: 0.7960 | Avg Found Sources: 0.10
2026-02-20 10:59:23,754 | INFO | Episode 80/5000 | Avg Reward: 30.66 | Avg Length: 205.40 | Avg Loss: 2.0748 | Avg Found Sources: 0.20
2026-02-20 10:59:30,989 | INFO | Episode 90/5000 | Avg Reward: 25.48 | Avg Length: 207.10 | Avg Loss: 1.2576 | Avg Found Sources: 0.20
2026-02-20 10:59:40,964 | INFO | Episode 100/5000 | Avg Reward: -1.62 | Avg Length: 280.00 | Avg Loss: 6.8327 | Avg Found Sources: 0.20
2026-02-20 10:59:47,939 | INFO | Episode 110/5000 | Avg Reward: 26.14 | Avg Length: 204.10 | Avg Loss: 0.5793 | Avg Found Sources: 0.00
