2026-03-09 14:31:48,437 | INFO | Episode 330/8000 | Avg Reward: 1.98 | Avg Length: 431.00 | Avg Loss: 4.4152 | Avg Found Sources: 0.90 | Avg Found Ratio: 19.29% | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.03, found=0.01, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 14:32:53,754 | INFO | Episode 340/8000 | Avg Reward: -10.07 | Avg Length: 431.00 | Avg Loss: 4.6792 | Avg Found Sources: 1.00 | Avg Found Ratio: 19.67% | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.03, found=0.01, collision=-0.05, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 14:33:56,897 | INFO | Episode 350/8000 | Avg Reward: 2.05 | Avg Length: 431.00 | Avg Loss: 0.8002 | Avg Found Sources: 0.60 | Avg Found Ratio: 10.42% | Success Rate: 0.00% | Partial Success Rate: 30.00% | Avg Reward Components: conc=0.01, found=0.01, collision=-0.00, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 14:35:01,248 | INFO | Episode 360/8000 | Avg Reward: -2.24 | Avg Length: 431.00 | Avg Loss: 4.4811 | Avg Found Sources: 1.00 | Avg Found Ratio: 16.33% | Success Rate: 0.00% | Partial Success Rate: 50.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 14:36:05,959 | INFO | Episode 370/8000 | Avg Reward: 0.36 | Avg Length: 431.00 | Avg Loss: 2.5189 | Avg Found Sources: 0.80 | Avg Found Ratio: 13.93% | Success Rate: 0.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.03, found=0.01, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-09 14:37:05,610 | INFO | Episode 380/8000 | Avg Reward: 18.40 | Avg Length: 388.60 | Avg Loss: 566.5462 | Avg Found Sources: 0.90 | Avg Found Ratio: 24.94% | Success Rate: 10.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.05, found=0.08, collision=-0.05, battery=-0.00, distance=0.01, stay_found=-0.00, success_done=1.71, failure_done=-0.01
2026-03-09 14:38:10,051 | INFO | Episode 390/8000 | Avg Reward: 5.18 | Avg Length: 431.00 | Avg Loss: 5.6307 | Avg Found Sources: 1.20 | Avg Found Ratio: 20.46% | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.05, found=0.01, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-09 14:39:15,764 | INFO | Episode 400/8000 | Avg Reward: 10.80 | Avg Length: 431.00 | Avg Loss: 5.5950 | Avg Found Sources: 1.40 | Avg Found Ratio: 27.38% | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.05, found=0.02, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-09 14:40:20,812 | INFO | Episode 410/8000 | Avg Reward: -9.83 | Avg Length: 431.00 | Avg Loss: 4.1657 | Avg Found Sources: 1.20 | Avg Found Ratio: 24.83% | Success Rate: 0.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.01, found=0.01, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-09 14:41:22,406 | INFO | Episode 420/8000 | Avg Reward: -8.51 | Avg Length: 388.20 | Avg Loss: 696.4992 | Avg Found Sources: 0.90 | Avg Found Ratio: 21.52% | Success Rate: 10.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.06, found=0.18, collision=-0.13, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=4.00, failure_done=-0.01
