episode,avg_reward,avg_found_sources
4300,25.937879,2.3000
4310,20.356751,1.5000
4320,39.316241,2.7000
4330,48.384250,3.1000
4340,31.643903,2.7000
4350,38.040166,2.7000
4360,27.959291,2.4000
4370,34.994059,2.8000
4380,43.449805,2.9000
4390,31.542464,2.6000
4400,37.327905,2.7000
4410,42.435540,2.8000
4420,43.933909,3.0000
4430,35.254608,2.8000
4440,34.912275,2.8000
4450,36.285697,2.7000
4460,52.068749,3.3000
4470,40.974902,2.9000
4480,48.987400,3.1000
4490,40.557834,2.9000
4500,36.836240,2.7000
4510,56.736656,3.4000
4520,33.052352,2.5000
4530,49.784681,3.1000
4540,48.517058,3.0000
4550,36.961826,2.8000
4560,56.114702,3.4000
4570,41.315733,2.9000
4580,44.345735,3.0000
4590,45.989968,3.1000
4600,55.245100,3.4000
4610,41.563040,2.9000
4620,40.334643,3.0000
4630,47.138952,3.3000
4640,39.074453,2.8000
4650,38.711932,2.7000
4660,43.069173,3.0000
4670,46.740986,3.2000
4680,62.007802,3.4000
4690,39.722591,2.8000
4700,40.779096,2.5000
4710,33.477687,2.5000
4720,58.193372,3.4000
4730,41.154152,3.0000
4740,52.718978,3.2000
4750,49.466789,3.2000
4760,44.582768,2.9000
4770,37.556322,2.9000
4780,45.643395,3.1000
4790,45.350568,3.0000
4800,28.052105,2.5000
4810,24.990322,2.4000
4820,34.435312,2.7000
4830,50.252243,3.1000
4840,35.200113,2.8000
4850,45.038511,3.2000
4860,49.063331,3.3000
4870,38.667800,2.6000
4880,52.075767,3.2000
4890,42.645592,3.1000
4900,48.596809,3.4000
4910,50.323718,3.2000
4920,39.101423,3.1000
4930,20.388966,2.1000
4940,49.733045,3.2000
4950,35.390572,2.8000
4960,52.635340,3.5000
4970,30.772455,2.7000
4980,44.520843,3.0000
4990,50.260740,3.2000
5000,46.663899,3.2000
