2026-03-11 15:25:00,681 | INFO | Episode 390/8000 | Avg Reward: 3.62 | Avg Length: 645.90 | Avg Loss: 47.0815 | Avg Found Sources: 3.10 | Avg Found Ratio: 61.15% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.03, collision=-0.04, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.05, failure_done=-0.01
2026-03-11 15:27:16,658 | INFO | Episode 400/8000 | Avg Reward: 3.94 | Avg Length: 611.40 | Avg Loss: 119.5114 | Avg Found Sources: 2.90 | Avg Found Ratio: 56.42% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.01, found=0.03, collision=-0.06, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.13, failure_done=-0.01
2026-03-11 15:29:48,476 | INFO | Episode 410/8000 | Avg Reward: 9.80 | Avg Length: 692.00 | Avg Loss: 2.9662 | Avg Found Sources: 1.80 | Avg Found Ratio: 35.42% | Success Rate: 0.00% | Partial Success Rate: 100.00% | Avg Reward Components: conc=0.04, found=0.01, collision=-0.03, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.00, failure_done=-0.01
2026-03-11 15:32:03,969 | INFO | Episode 420/8000 | Avg Reward: 9.83 | Avg Length: 624.20 | Avg Loss: 777.9524 | Avg Found Sources: 1.80 | Avg Found Ratio: 40.25% | Success Rate: 10.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.05, collision=-0.03, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=0.86, failure_done=-0.01
2026-03-11 15:34:27,334 | INFO | Episode 430/8000 | Avg Reward: 7.08 | Avg Length: 661.10 | Avg Loss: 25.7419 | Avg Found Sources: 1.80 | Avg Found Ratio: 39.68% | Success Rate: 10.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.01, found=0.01, collision=-0.02, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.03, failure_done=-0.01
2026-03-11 15:37:02,023 | INFO | Episode 440/8000 | Avg Reward: -39.36 | Avg Length: 692.00 | Avg Loss: 8.2363 | Avg Found Sources: 1.40 | Avg Found Ratio: 27.92% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.07, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 15:39:29,250 | INFO | Episode 450/8000 | Avg Reward: -35.26 | Avg Length: 692.00 | Avg Loss: 10.2068 | Avg Found Sources: 1.50 | Avg Found Ratio: 27.81% | Success Rate: 0.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.08, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 15:41:34,158 | INFO | Episode 460/8000 | Avg Reward: 21.16 | Avg Length: 581.10 | Avg Loss: 839.0452 | Avg Found Sources: 1.60 | Avg Found Ratio: 45.71% | Success Rate: 20.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.18, collision=-0.05, battery=-0.00, distance=0.00, stay_found=-0.01, success_done=2.04, failure_done=-0.01
2026-03-11 15:44:09,331 | INFO | Episode 470/8000 | Avg Reward: 10.18 | Avg Length: 692.00 | Avg Loss: 3.0865 | Avg Found Sources: 2.10 | Avg Found Ratio: 34.79% | Success Rate: 0.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.04, found=0.02, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.00, failure_done=-0.01
2026-03-11 15:46:11,868 | INFO | Episode 480/8000 | Avg Reward: 12.95 | Avg Length: 566.80 | Avg Loss: 377.5648 | Avg Found Sources: 1.20 | Avg Found Ratio: 43.33% | Success Rate: 20.00% | Partial Success Rate: 70.00% | Avg Reward Components: conc=0.02, found=0.02, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.01, success_done=0.39, failure_done=-0.01
2026-03-11 15:48:33,886 | INFO | Episode 490/8000 | Avg Reward: 20.05 | Avg Length: 638.60 | Avg Loss: 46.5050 | Avg Found Sources: 1.70 | Avg Found Ratio: 44.92% | Success Rate: 20.00% | Partial Success Rate: 90.00% | Avg Reward Components: conc=0.02, found=0.01, collision=-0.03, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.06, failure_done=-0.01
2026-03-11 15:50:57,204 | INFO | Episode 500/8000 | Avg Reward: 22.64 | Avg Length: 669.90 | Avg Loss: 36.8289 | Avg Found Sources: 1.60 | Avg Found Ratio: 40.38% | Success Rate: 20.00% | Partial Success Rate: 60.00% | Avg Reward Components: conc=0.03, found=0.01, collision=-0.04, battery=-0.00, distance=-0.00, stay_found=-0.00, success_done=0.04, failure_done=-0.01
2026-03-11 15:52:57,310 | INFO | Episode 510/8000 | Avg Reward: 31.30 | Avg Length: 555.50 | Avg Loss: 1557.8111 | Avg Found Sources: 1.50 | Avg Found Ratio: 53.67% | Success Rate: 20.00% | Partial Success Rate: 80.00% | Avg Reward Components: conc=0.02, found=0.16, collision=-0.02, battery=-0.00, distance=0.00, stay_found=-0.00, success_done=2.53, failure_done=-0.01
