episode,episode_reward,episode_length,loss,found_sources,total_sources,found_source_ratio,success,partial_success,battery,collision,concentration,distance,failure_done,found_bonus,found_source_stay,success_done
74,-32.225822,687,1.521534,3,6,0.500000,0,1,-0.000291,-0.069141,0.010292,-0.001341,-0.007278,0.021834,-0.000983,0.000000
75,22.987778,683,1.077007,4,6,0.666667,0,1,-0.000293,0.000000,0.015789,-0.001276,-0.007321,0.029283,-0.002526,0.000000
76,4.642858,681,0.426937,1,2,0.500000,0,1,-0.000294,-0.011013,0.016674,0.001561,-0.007342,0.007342,-0.000110,0.000000
77,166.484529,466,65.368914,7,7,1.000000,1,1,-0.000300,-0.001073,0.024659,0.006267,0.000000,0.075107,-0.004909,0.257511
78,-123.025196,680,3.060821,3,6,0.500000,0,1,-0.000294,-0.196691,0.002908,-0.000335,-0.007353,0.022059,-0.001213,0.000000
79,72.939386,444,69.697948,6,6,1.000000,1,1,-0.000301,-0.176239,0.009690,0.000807,0.000000,0.067568,-0.007517,0.270270
80,-8.157421,683,1.471766,4,5,0.800000,0,1,-0.000293,-0.039165,0.014189,0.000588,-0.007321,0.029283,-0.009224,0.000000
81,143.214804,510,58.419890,3,3,1.000000,1,1,-0.000300,0.000000,0.017602,0.003731,0.000000,0.029412,-0.004926,0.235294
82,119.994887,31,937.839355,1,1,1.000000,1,1,-0.000299,-0.201613,0.003382,0.037074,0.000000,0.161290,0.000000,3.870968
83,-106.456231,683,3.819433,5,6,0.833333,0,1,-0.000293,-0.186676,0.006773,0.000648,-0.007321,0.036603,-0.005600,0.000000
84,53.992859,675,1.712850,5,6,0.833333,0,1,-0.000296,0.000000,0.051847,0.001810,-0.007407,0.037037,-0.003000,0.000000
85,21.001979,675,0.907457,2,4,0.500000,0,1,-0.000296,-0.011111,0.037310,-0.001251,-0.007407,0.014815,-0.000944,0.000000
86,110.911398,219,133.566391,2,2,1.000000,1,1,-0.000299,-0.097032,0.005517,0.007733,0.000000,0.045662,-0.003082,0.547945
87,-31.152268,676,0.806835,1,2,0.500000,0,1,-0.000296,-0.051775,0.007890,-0.001736,-0.007396,0.007396,-0.000166,0.000000
88,-28.285140,672,0.889171,1,2,0.500000,0,1,-0.000298,-0.050223,0.007889,0.000597,-0.007440,0.007440,-0.000056,0.000000
89,-93.064675,676,3.137744,3,4,0.750000,0,1,-0.000296,-0.159763,0.011925,-0.000611,-0.007396,0.022189,-0.003717,0.000000
90,43.721742,678,1.571980,5,8,0.625000,0,1,-0.000295,-0.023599,0.063139,0.000720,-0.007375,0.036873,-0.004978,0.000000
91,-128.798766,682,6.363013,6,7,0.857143,0,1,-0.000293,-0.233138,0.013685,0.000173,-0.007331,0.043988,-0.005938,0.000000
92,137.059576,222,136.885283,5,5,1.000000,1,1,-0.000295,-0.048423,0.008186,0.005947,0.000000,0.112613,-0.001182,0.540541
93,54.620034,684,1.729383,6,7,0.857143,0,1,-0.000292,0.000000,0.047858,0.000838,-0.007310,0.043860,-0.005099,0.000000
94,112.992442,144,203.506646,4,4,1.000000,1,1,-0.000297,-0.206597,0.013709,0.008237,0.000000,0.138889,-0.002604,0.833333
95,-9.529411,689,0.884978,0,1,0.000000,0,0,-0.000290,-0.005806,0.001473,-0.001952,-0.007257,0.000000,0.000000,0.000000
96,77.933274,555,54.544343,2,2,1.000000,1,1,-0.000297,-0.103153,0.009710,0.001277,0.000000,0.018018,-0.001351,0.216216
97,137.315252,540,54.683766,3,3,1.000000,1,1,-0.000296,0.000000,0.004419,0.000442,0.000000,0.027778,-0.000278,0.222222
98,155.041631,437,67.724552,7,7,1.000000,1,1,-0.000295,-0.013158,0.014275,0.003221,0.000000,0.080092,-0.003947,0.274600
99,130.538566,342,84.645322,3,3,1.000000,1,1,-0.000295,-0.016813,0.003335,0.002153,0.000000,0.043860,-0.001425,0.350877
100,128.092591,17,1630.641617,2,2,1.000000,1,1,-0.000298,-0.117647,0.072497,-0.060135,0.000000,0.588235,-0.006618,7.058824
101,-13.090879,689,2.192625,1,2,0.500000,0,1,-0.000290,-0.020319,0.002542,-0.000606,-0.007257,0.007257,-0.000327,0.000000
102,15.011881,691,2.112085,3,7,0.428571,0,1,-0.000289,0.000000,0.008194,0.000163,-0.007236,0.021708,-0.000814,0.000000
103,5.654964,687,2.676720,2,4,0.500000,0,1,-0.000291,-0.070597,0.070167,0.002166,-0.007278,0.014556,-0.000491,0.000000
104,120.149926,442,65.088636,2,2,1.000000,1,1,-0.000295,-0.021493,0.001465,-0.001368,0.000000,0.022624,-0.000594,0.271493
105,143.993429,405,70.544570,4,4,1.000000,1,1,-0.000294,0.000000,0.009061,0.001649,0.000000,0.049383,-0.000556,0.296296
106,-141.379428,689,6.743828,7,8,0.875000,0,1,-0.000290,-0.231858,0.031734,0.001913,-0.007257,0.050798,-0.050236,0.000000
107,116.080123,283,103.428896,6,6,1.000000,1,1,-0.000295,-0.115724,0.027267,0.007587,0.000000,0.106007,-0.038693,0.424028
