episode,episode_reward,episode_length,loss,found_sources,total_sources,found_source_ratio,success,partial_success,battery,collision,concentration,distance,failure_done,found_bonus,found_source_stay,success_done
87,9.684080,1000,0.506232,2,3,0.666667,0,1,-0.000295,0.000000,0.001083,0.000021,0.000000,0.010000,-0.001125,0.000000
88,149.513645,899,33.900639,6,6,1.000000,1,1,-0.000295,-0.017798,0.017097,0.002540,0.000000,0.033370,-0.002086,0.133482
89,-82.145630,1000,2.920049,2,5,0.400000,0,1,-0.000292,-0.097000,0.007251,0.000109,0.000000,0.010000,-0.002213,0.000000
90,54.833529,1000,0.598942,3,7,0.428571,0,1,-0.000292,0.000000,0.043208,0.000180,0.000000,0.015000,-0.003263,0.000000
91,25.615358,1000,0.469998,2,4,0.500000,0,1,-0.000293,-0.001500,0.019350,-0.000255,0.000000,0.010000,-0.001688,0.000000
92,-87.573991,1000,1.338659,1,6,0.166667,0,1,-0.000294,-0.095500,0.004368,-0.001111,0.000000,0.005000,-0.000037,0.000000
93,-7.371351,1000,0.988782,3,6,0.500000,0,1,-0.000291,-0.023000,0.001708,-0.000526,0.000000,0.015000,-0.000263,0.000000
94,-3.248258,1000,0.601789,1,4,0.250000,0,1,-0.000296,-0.030250,0.029190,-0.000104,0.000000,0.005000,-0.006787,0.000000
95,-115.808504,1000,1.681837,3,6,0.500000,0,1,-0.000294,-0.134750,0.008089,-0.000254,0.000000,0.015000,-0.003600,0.000000
96,80.342423,328,107.648816,7,7,1.000000,1,1,-0.000297,-0.261433,0.028635,0.008910,0.000000,0.106707,-0.003430,0.365854
97,146.337723,992,30.689109,4,4,1.000000,1,1,-0.000294,-0.014365,0.022467,0.001832,0.000000,0.020161,-0.003251,0.120968
98,-85.639267,1000,3.534135,3,6,0.500000,0,1,-0.000294,-0.159750,0.059585,0.000682,0.000000,0.015000,-0.000862,0.000000
99,133.827834,658,44.363786,3,3,1.000000,1,1,-0.000292,0.000000,0.000262,-0.000270,0.000000,0.022796,-0.001482,0.182371
100,-223.075073,1000,3.816945,0,1,0.000000,0,0,-0.000292,-0.222750,0.000490,-0.000523,0.000000,0.000000,0.000000,0.000000
